FileTitle:,IAS_Spectrum,,151844_M20260202-00081_0_5-1,,
Head:,Reference,Sample,,,
Sample ID,B2500235,,,,
System Temp hundredths:,2495,2507,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5624,5589,,,
Lamp PD:,92,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
1110,0.27266926,2018231.391,1077213.272,,
1111,0.27263181,2015316.555,1075750.275,,
1112,0.27260595,2012486.367,1074303.523,,
1113,0.27259333,2009745.948,1072871.792,,
1114,0.27259573,2007100.443,1071453.63,,
1115,0.27261488,2004554.997,1070047.587,,
1116,0.27265258,2002114.752,1068652.21,,
1117,0.27271058,1999784.855,1067266.05,,
1118,0.27279067,1997570.449,1065887.655,,
1119,0.27289464,1995476.678,1064515.574,,
1120,0.27302426,1993508.687,1063148.356,,
1121,0.27318133,1991671.611,1061784.549,,
1122,0.27336741,1989969.113,1060422.479,,
1123,0.27358358,1988401.813,1059060.019,,
1124,0.27383085,1986969.953,1057694.984,,
1125,0.27411026,1985673.777,1056325.19,,
1126,0.27442282,1984513.526,1054948.45,,
1127,0.27476956,1983489.443,1053562.582,,
1128,0.27515147,1982601.772,1052165.4,,
1129,0.2755696,1981850.753,1050754.719,,
1130,0.27602494,1981236.63,1049328.356,,
1131,0.27651851,1980759.641,1047884.131,,
1132,0.27705102,1980419.679,1046420.428,,
1133,0.27762265,1980216.058,1044936.559,,
1134,0.27823354,1980148.042,1043431.924,,
1135,0.27888381,1980214.893,1041905.926,,
1136,0.2795736,1980415.871,1040357.966,,
1137,0.28030303,1980750.238,1038787.444,,
1138,0.28107221,1981217.257,1037193.761,,
1139,0.28188126,1981816.188,1035576.32,,
1140,0.2827303,1982546.295,1033934.521,,
1141,0.28361944,1983406.876,1032267.792,,
1142,0.28454871,1984398.296,1030576.268,,
1143,0.28551807,1985522.083,1028860.863,,
1144,0.28652748,1986779.826,1027122.533,,
1145,0.28757688,1988173.113,1025362.231,,
1146,0.28866619,1989703.532,1023580.91,,
1147,0.28979535,1991372.673,1021779.525,,
1148,0.29096426,1993182.123,1019959.03,,
1149,0.29217282,1995133.471,1018120.38,,
1150,0.29342095,1997228.306,1016264.526,,
1151,0.29470832,1999467.783,1014392.646,,
1152,0.29603268,2001848.583,1012508.198,,
1153,0.29739058,2004364.731,1010615.998,,
1154,0.29877857,2007010.222,1008720.878,,
1155,0.30019317,2009779.046,1006827.67,,
1156,0.30163088,2012665.197,1004941.206,,
1157,0.3030882,2015662.667,1003066.319,,
1158,0.30456162,2018765.448,1001207.84,,
1159,0.30604761,2021967.534,999370.6029,,
1160,0.30754263,2025262.916,997559.4385,,
1161,0.30904333,2028646.373,995779.125,,
1162,0.31054711,2032115.784,994034.2248,,
1163,0.31205154,2035669.792,992329.2474,,
1164,0.31355418,2039307.039,990668.7022,,
1165,0.31505256,2043026.168,989057.0986,,
1166,0.31654425,2046825.822,987498.9462,,
1167,0.31802675,2050704.643,985998.7543,,
1168,0.31949759,2054661.274,984561.0323,,
1169,0.32095429,2058694.357,983190.2898,,
1170,0.3223944,2062802.48,981890.9309,,
1171,0.32381698,2066981.75,980662.7168,,
1172,0.32522324,2071224.87,979499.0373,,
1173,0.32661457,2075524.299,978392.8203,,
1174,0.32799237,2079872.495,977336.9936,,
1175,0.32935811,2084261.917,976324.4851,,
1176,0.33071326,2088685.021,975348.2228,,
1177,0.33205931,2093134.267,974401.1344,,
1178,0.3333978,2097602.112,973476.148,,
1179,0.33473028,2102081.014,972566.1913,,
1180,0.33605792,2106564.975,971665.8521,,
1181,0.33737892,2111058.75,970781.2857,,
1182,0.33869023,2115571.672,969923.5702,,
1183,0.33998873,2120113.092,969103.8022,,
1184,0.34127129,2124692.359,968333.078,,
1185,0.34253474,2129318.823,967622.4941,,
1186,0.34377588,2134001.835,966983.1468,,
1187,0.34499151,2138750.743,966426.1326,,
1188,0.34617837,2143574.899,965962.5479,,
1189,0.34733323,2148483.597,965603.4644,,
1190,0.34845281,2153482.493,965358.3122,,
1191,0.34953386,2158571.383,965233.8768,,
1192,0.35057316,2163749.532,965236.7042,,
1193,0.35156749,2169016.202,965373.3405,,
1194,0.35251369,2174370.66,965650.3317,,
1195,0.35340858,2179812.169,966074.224,,
1196,0.35424906,2185339.993,966651.5632,,
1197,0.35503204,2190953.397,967388.8955,,
1198,0.3557545,2196651.645,968292.767,,
1199,0.35641319,2202433.537,969370.0966,,
1200,0.35700343,2208295.176,970629.9628,,
1201,0.35752006,2214231.701,972082.2195,,
1202,0.35795803,2220238.249,973736.7216,,
1203,0.35831236,2226309.954,975603.324,,
1204,0.35857817,2232441.954,977691.8817,,
1205,0.3587507,2238629.386,980012.2495,,
1206,0.3588253,2244867.384,982574.2824,,
1207,0.35879745,2251151.086,985387.8352,,
1208,0.35866282,2257475.739,988462.6603,,
1209,0.35841883,2263839.261,991806.0544,,
1210,0.35806463,2270242.299,995422.8038,,
1211,0.35759954,2276685.625,999317.5813,,
1212,0.35702301,2283170.007,1003495.06,,
1213,0.35633461,2289696.218,1007959.912,,
1214,0.35553399,2296265.028,1012716.811,,
1215,0.35462095,2302877.206,1017770.429,,
1216,0.35359539,2309533.525,1023125.439,,
1217,0.35245732,2316234.735,1028786.486,,
1218,0.35121026,2322974.254,1034746.91,,
1219,0.34986616,2329727.037,1040971.605,,
1220,0.34843801,2336465.18,1047421.06,,
1221,0.3469385,2343160.778,1054055.761,,
1222,0.34537997,2349785.928,1060836.197,,
1223,0.34377439,2356312.725,1067722.855,,
1224,0.34213338,2362713.266,1074676.223,,
1225,0.34046818,2368959.646,1081656.789,,
1226,0.33878968,2375023.962,1088625.041,,
1227,0.33710808,2380880.885,1095543.395,,
1228,0.33543159,2386520.249,1102385.612,,
1229,0.33376752,2391937.419,1109129.59,,
1230,0.33212303,2397127.764,1115753.235,,
1231,0.33050507,2402086.656,1122234.452,,
1232,0.32892046,2406809.465,1128551.146,,
1233,0.32737586,2411291.564,1134681.221,,
1234,0.32587778,2415528.323,1140602.582,,
1235,0.32443265,2419515.113,1146293.135,,
1236,0.32304641,2423251.786,1151733.863,,
1237,0.3217203,2426796.986,1156946.165,,
1238,0.32045248,2430250.736,1161979.879,,
1239,0.31924131,2433713.917,1166885.436,,
1240,0.3180854,2437287.416,1171713.266,,
1241,0.31698358,2441072.114,1176513.802,,
1242,0.31593488,2445168.896,1181337.473,,
1243,0.31493849,2449678.645,1186234.713,,
1244,0.31399374,2454702.246,1191255.951,,
1245,0.31310007,2460338.101,1196450.47,,
1246,0.31225633,2466607.28,1201831.774,,
1247,0.31146052,2473440.263,1207371.449,,
1248,0.31071051,2480762.375,1213038.698,,
1249,0.31000404,2488498.939,1218802.721,,
1250,0.30933881,2496575.28,1224632.722,,
1251,0.30871242,2504916.721,1230497.9,,
1252,0.30812244,2513448.587,1236367.458,,
1253,0.30756642,2522096.202,1242210.598,,
1254,0.30704186,2530785.099,1247996.612,,
1255,0.30654667,2539459.086,1253702.655,,
1256,0.30607946,2548094.114,1259319.717,,
1257,0.30563892,2556669.401,1264840.194,,
1258,0.30522375,2565164.166,1270256.48,,
1259,0.30483267,2573557.626,1275560.972,,
1260,0.30446444,2581829,1280746.064,,
1261,0.30411782,2589957.505,1285804.151,,
1262,0.30379156,2597922.36,1290727.629,,
1263,0.30348448,2605702.808,1295508.907,,
1264,0.30319523,2613285.963,1300144.752,,
1265,0.30292215,2620677.929,1304642.444,,
1266,0.30266355,2627887.62,1309010.82,,
1267,0.30241779,2634923.947,1313258.715,,
