Batch Number,B2600074,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPEP250401,,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,,
NIR-Code,D20260211-00099,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2267,2304,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5181,5163,,,,,
Lamp PD:,92,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1019,0.06645542,1982096.706,1700863.322,1247401,584844,,
1020,0.06624909,1983297.504,1702702.491,1267155,593122,,
1021,0.06603686,1986688.251,1706447.222,1285723,600729,,
1022,0.06583013,1988718.126,1709004.077,1306311,609243,,
1023,0.0656324,1987335.224,1708593.433,1325421,617074,,
1024,0.06543503,1983210.53,1705822.32,1344265,624336,,
1025,0.06522873,1977335.116,1701576.794,1364107,632263,,
1026,0.06500962,1971319.156,1697255.899,1383668,639894,,
1027,0.06477919,1967333.166,1694722.986,1403565,647480,,
1028,0.06454104,1967114.961,1695464.52,1414257,650696,,
1029,0.06430521,1969159.614,1698148.687,1441159,661351,,
1030,0.06408328,1970549.266,1700215.697,1463765,669770,,
1031,0.06387987,1969302.409,1699935.903,1474376,672786,,
1032,0.06368199,1966324.669,1698139,1501174,682881,,
1033,0.06347413,1963057.006,1696128.609,1520754,689696,,
1034,0.0632525,1960233.319,1694553.444,1538613,695586,,
1035,0.06302897,1957611.262,1693157.992,1557272,701912,,
1036,0.06281574,1954901.782,1691644.886,1566545,703822,,
1037,0.06261641,1952097.367,1689993.618,1589965,712213,,
1038,0.06242919,1949369.595,1688359.785,1611117,719479,,
1039,0.06225075,1946850.199,1686870.671,1622135,722148,,
1040,0.06207125,1944486.541,1685519.155,1649145,732027,,
1041,0.06187913,1942175.505,1684260.795,1666176,737545,,
1042,0.06167206,1939748.062,1682957.965,1682314,742712,,
1043,0.06146401,1936918.809,1681308.487,1699371,748184,,
1044,0.06126961,1933426.395,1679028.359,1716904,754003,,
1045,0.06108906,1929541.541,1676351.442,1731844,758766,,
1046,0.06091169,1925941.75,1673907.503,1749024,764780,,
1047,0.06072913,1923140.063,1672175.241,1763865,769457,,
1048,0.06054488,1920780.643,1670832.393,1777338,774091,,
1049,0.06036595,1918240.912,1669310.796,1791378,778877,,
1050,0.0601954,1915203.469,1667322.156,1805001,783707,,
1051,0.06002928,1911927.555,1665107.008,1818182,788534,,
1052,0.05986307,1908722.728,1662952.216,1818902,788165,,
1053,0.05969404,1905692.855,1660958.828,1840598,797178,,
1054,0.05952077,1902783.356,1659084.757,1856176,804010,,
1055,0.05934257,1899974.061,1657315.154,1855878,804077,,
1056,0.059162,1897425.601,1655780.464,1876249,813550,,
1057,0.05898265,1895343.348,1654646.581,1886922,818985,,
1058,0.05880659,1893292.169,1653526.066,1895225,823990,,
1059,0.05863296,1889752.262,1651094.431,1904358,829523,,
1060,0.05846006,1883340.541,1646147.7,1901421,830299,,
1061,0.05828608,1875539.629,1639986.093,1915245,838841,,
1062,0.05811022,1869708.179,1635549.199,1926647,846679,,
1063,0.05793256,1868026.072,1634746.325,1924909,849478,,
1064,0.05775236,1868230.654,1635603.901,1942740,861511,,
1065,0.05756753,1867088.1,1635299.422,1948273,868784,,
1066,0.05737686,1863156.074,1632572.138,1952604,876371,,
1067,0.05718147,1857297.918,1628171.308,1957901,885367,,
1068,0.05698326,1850577.107,1623020.184,1963853,895864,,
1069,0.05678612,1844431.06,1618364.353,1966356,905692,,
1070,0.05659534,1840468.601,1615597.141,1972016,918273,,
1071,0.05641285,1839245.116,1615201.691,1974682,930754,,
1072,0.05623085,1838776.804,1615467.265,1976384,943777,,
1073,0.05604016,1836815.874,1614453.196,1978653,958782,,
1074,0.05584686,1833000.253,1611816.766,1980686,974836,,
1075,0.05567066,1828548.409,1608554.6,1981934,992033,,
1076,0.05552374,1824523.147,1605556.649,1970444,1003826,,
1077,0.0553807,1821088.812,1603062.389,1981160,1028211,,
1078,0.05520622,1818151.341,1601119.729,1985785,1050753,,
1079,0.05499685,1815088.453,1599193.217,1973676,1065417,,
1080,0.05479314,1810547.725,1595941.026,1984652,1093069,,
1081,0.05463232,1803514.655,1590330.371,1985975,1116254,,
1082,0.05450422,1795957.376,1584133.586,1986264,1139345,,
1083,0.05437733,1791206.123,1580404.408,1989125,1164050,,
1084,0.05423383,1790607.097,1580398.004,1982582,1183106,,
1085,0.05408449,1791196.641,1581462.038,1995725,1213351,,
1086,0.05394227,1789643.2,1580608.042,2008391,1243091,,
1087,0.05381216,1785142.339,1577105.304,2010150,1265735,,
1088,0.05369435,1778651.689,1571797.37,2034430,1301165,,
1089,0.05358857,1771393.097,1565764.274,2047445,1328608,,
1090,0.05349256,1765328.854,1560748.989,2061509,1355957,,
1091,0.05340396,1762462.558,1558532.757,2078983,1384408,,
1092,0.05332008,1762406.349,1558784.104,2099784,1414052,,
1093,0.0532373,1762437.594,1559108.906,2117296,1440587,,
1094,0.0531519,1760350.39,1557568.748,2139784,1469445,,
1095,0.05306195,1756757.232,1554711.46,2159100,1495174,,
1096,0.05296654,1753059.122,1551779.554,2177325,1519381,,
1097,0.0528738,1749910.393,1549323.148,2195912,1543452,,
1098,0.0528033,1747008.113,1547004.67,2213415,1566288,,
1099,0.05277053,1744048.953,1544500.802,2229764,1587898,,
1100,0.05276159,1741108.593,1541928.625,2231284,1598723,,
1101,0.05275153,1738403.124,1539568.308,2255972,1625986,,
1102,0.05272687,1736015.148,1537540.768,2273831,1648695,,
1103,0.0526925,1733814.976,1535713.682,2272552,1657914,,
1104,0.0526553,1731634.947,1533914.122,2296668,1685337,,
1105,0.05262469,1729162.815,1531832.196,2308601,1704656,,
1106,0.0526112,1726024.359,1529099.398,2319235,1723312,,
1107,0.05261514,1722271.265,1525760.668,2330172,1742452,,
1108,0.05261773,1718745.604,1522628.197,2328544,1752341,,
1109,0.05260128,1716246.296,1520471.676,2346122,1776654,,
1110,0.05257708,1714437.128,1518953.527,2360830,1799149,,
1111,0.05257151,1712395.155,1517163.833,2359502,1809517,,
1112,0.05259941,1709662.083,1514645.055,2380990,1837262,,
1113,0.05265161,1706738.647,1511873.357,2386694,1852711,,
1114,0.05271672,1704191.975,1509391.141,2390997,1866851,,
1115,0.05279105,1702105.947,1507285.557,2396079,1881170,,
1116,0.05287525,1700296.972,1505391.753,2402880,1896402,,
1117,0.05296946,1698698.49,1503650.275,2403012,1906023,,
1118,0.05307263,1697497.803,1502230.551,2408477,1919170,,
1119,0.05318442,1696804.332,1501230.367,2408685,1927562,,
1120,0.0533137,1695666.795,1499777.445,2408096,1934525,,
1121,0.05347482,1692550.892,1496466.204,2408425,1941673,,
1122,0.0536749,1687353.783,1491184.044,2408095,1947538,,
1123,0.05390402,1682947.687,1486505.766,2407155,1952063,,
1124,0.0541502,1682150.865,1484959.948,2392034,1944604,,
1125,0.05441645,1683965.766,1485651.017,2401215,1956162,,
1126,0.05471545,1685381.43,1485876.637,2403003,1961022,,
1127,0.05505669,1684608.368,1484028.565,2385349,1949516,,
1128,0.05544059,1682224.196,1480618.888,2393109,1958108,,
1129,0.05586566,1679134.743,1476453.899,2388165,1955796,,
1130,0.05632662,1676736.255,1472780.885,2380983,1951235,,
