Batch Number,B2500391,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040003,,,,,,,
Product name, PETFLAKES Performance - Puppy ,,,,,,,
NIR-Code,M20260202-00085,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1093,0.20620448,2076326.685,1291490.472,,,,,
1094,0.20615404,2072503.262,1289261.993,,,,,
1095,0.20611023,2068736.926,1287048.879,,,,,
1096,0.2060727,2065023.709,1284849.742,,,,,
1097,0.20604114,2061359.641,1282663.191,,,,,
1098,0.2060152,2057740.754,1280487.838,,,,,
1099,0.20599456,2054163.078,1278322.293,,,,,
1100,0.20597886,2050622.644,1276165.168,,,,,
1101,0.20596778,2047115.534,1274015.09,,,,,
1102,0.20596132,2043641.055,1271871.687,,,,,
1103,0.20596002,2040203.636,1269736.188,,,,,
1104,0.20596448,2036808.162,1267609.957,,,,,
1105,0.20597532,2033459.518,1265494.363,,,,,
1106,0.20599312,2030162.587,1263390.772,,,,,
1107,0.20601851,2026922.254,1261300.55,,,,,
1108,0.20605209,2023743.403,1259225.066,,,,,
1109,0.20609448,2020630.918,1257165.686,,,,,
1110,0.20614629,2017589.684,1255123.776,,,,,
1111,0.20620816,2014624.587,1253100.702,,,,,
1112,0.2062809,2011740.876,1251097.454,,,,,
1113,0.20636578,2008944.539,1249114.262,,,,,
1114,0.20646411,2006241.655,1247151.262,,,,,
1115,0.20657722,2003638.301,1245208.59,,,,,
1116,0.20670642,2001140.556,1243286.384,,,,,
1117,0.20685304,1998754.498,1241384.778,,,,,
1118,0.20701841,1996486.205,1239503.91,,,,,
1119,0.20720387,1994341.756,1237643.915,,,,,
1120,0.20741075,1992327.228,1235804.931,,,,,
1121,0.20764037,1990448.687,1233987.087,,,,,
1122,0.20789398,1988710.204,1232189.56,,,,,
1123,0.20817259,1987111.721,1230409.549,,,,,
1124,0.20847722,1985652.671,1228644.013,,,,,
1125,0.20880885,1984332.485,1226889.907,,,,,
1126,0.20916849,1983150.596,1225144.187,,,,,
1127,0.20955714,1982106.434,1223403.811,,,,,
1128,0.2099758,1981199.432,1221665.735,,,,,
1129,0.21042547,1980429.022,1219926.915,,,,,
1130,0.21090714,1979794.636,1218184.307,,,,,
1131,0.21142182,1979295.706,1216434.883,,,,,
1132,0.21197015,1978931.79,1214676.634,,,,,
1133,0.21255222,1978702.649,1212909.257,,,,,
1134,0.21316808,1978608.065,1211132.609,,,,,
1135,0.21381773,1978647.819,1209346.55,,,,,
1136,0.2145012,1978821.693,1207550.937,,,,,
1137,0.21521851,1979129.468,1205745.628,,,,,
1138,0.21596966,1979570.926,1203930.482,,,,,
1139,0.21675465,1980145.847,1202105.358,,,,,
1140,0.21757348,1980854.013,1200270.112,,,,,
1141,0.21842614,1981695.225,1198424.626,,,,,
1142,0.2193125,1982669.787,1196569.384,,,,,
1143,0.22023232,1983778.56,1194705.534,,,,,
1144,0.22118532,1985022.433,1192834.257,,,,,
1145,0.22217122,1986402.296,1190956.734,,,,,
1146,0.22318976,1987919.035,1189074.147,,,,,
1147,0.22424062,1989573.542,1187187.677,,,,,
1148,0.2253235,1991366.703,1185298.506,,,,,
1149,0.2264381,1993299.409,1183407.816,,,,,
1150,0.2275841,1995372.548,1181516.786,,,,,
