Batch Number,B2600074,,,,,
1193,0.11564384,1840450.142,1410198.398,1713106,1414821,
1194,0.11611924,1844506.481,1411760.249,1707283,1419389,
1195,0.11656591,1849487.626,1414117.578,1701576,1423734,
1196,0.11697697,1855273.672,1417199.569,1689933,1423355,
1197,0.11734491,1861114.179,1420457.042,1692846,1434246,
1198,0.11766183,1865020.867,1422400.407,1691413,1441469,
1199,0.11792128,1865649.575,1422030.105,1680564,1440304,
1200,0.11811893,1866257.603,1421846.321,1685721,1451920,
1201,0.11825029,1871514.798,1425420.423,1684093,1457355,
1202,0.1183284,1881202.015,1432540.918,1682192,1461842,
1203,0.11838383,1890537.306,1439466.029,1682055,1467031,
1204,0.11842799,1896156.015,1443597.346,1676338,1466610,
1205,0.11842484,1898473.779,1445372.42,1681563,1474976,
1206,0.11833841,1898724.039,1445850.654,1685218,1481436,
1207,0.1181801,1899930.345,1447296.738,1682330,1481255,
1208,0.11798063,1905679.572,1452343.166,1693506,1493005,
1209,0.11774783,1915553.255,1460650.788,1697263,1497437,
1210,0.11746409,1925040.353,1468844.25,1700678,1501403,
1211,0.11711841,1931237.465,1474746.139,1705977,1506605,
1212,0.11672368,1935807.735,1479580.288,1712936,1513132,
1213,0.116295,1940846.351,1484896.409,1717999,1517621,
1214,0.11582857,1946465.135,1490795.462,1726946,1525445,
1215,0.1153126,1951956.389,1496778.403,1733369,1530867,
1216,0.11475124,1957227.47,1502761.498,1739243,1535765,
1217,0.11416564,1962825.894,1509093.483,1746606,1542035,
1218,0.11356639,1969067.406,1515982.513,1754488,1548300,
1219,0.11293497,1975609.641,1523232.409,1762395,1554547,
1220,0.11225257,1982000.27,1530562.763,1763431,1554620,
1221,0.1115292,1987733.166,1537548.716,1779152,1567424,
1222,0.11078557,1992330.027,1543745.523,1791018,1576858,
1223,0.11003752,1996412.886,1549575.861,1791816,1576076,
1224,0.10929825,2001674.029,1556306.393,1809278,1590166,
1225,0.10857542,2008683.011,1564357.435,1819210,1597072,
1226,0.10785879,2015324.351,1572121.686,1828413,1603579,
1227,0.10713473,2019612.571,1578095.687,1838216,1610515,
1228,0.10640029,2022540.807,1583058.659,1840930,1610850,
1229,0.1056597,2026099.164,1588550.401,1855884,1622116,
1230,0.10492855,2030698.828,1594839.433,1867899,1630854,
1231,0.10422943,2035398.881,1601106.051,1869818,1630608,
1232,0.10356826,2039741.962,1606967.05,1887928,1644706,
1233,0.10292097,2044302.222,1612961.962,1895912,1649833,
1234,0.10226814,2049257.892,1619304.338,1902630,1654046,
1235,0.10162287,2052313.412,1624130.088,1910622,1659129,
1236,0.10100365,2050822.391,1625265.808,1918952,1664687,
1237,0.10041394,2047261.635,1624648.478,1925711,1668648,
1238,0.09985282,2047642.928,1627051.901,1935617,1675383,
1239,0.09932242,2053746.739,1633896.229,1942835,1679531,
1240,0.09881959,2060642.291,1641281.286,1949303,1683162,
1241,0.09833646,2064116.573,1645878.449,1956742,1687428,
1242,0.09786582,2064687.926,1648119.137,1964238,1691778,
1243,0.09740299,2064065.992,1649379.493,1970527,1694786,
1244,0.09695122,2065013.525,1651854.065,1966986,1689312,
1245,0.09651952,2070745.653,1658086.695,1980646,1698602,
1246,0.09611511,2080929.046,1667793.073,1988491,1703228,
1247,0.09573887,2091070.748,1677373.793,1982118,1695431,
1248,0.09538828,2098227.032,1684473.548,1995726,1705016,
1249,0.09506042,2104081.569,1690449.318,1999655,1706105,
1250,0.0947532,2110784.235,1697034.378,2001993,1706181,
1251,0.09446127,2118801.571,1704625.62,2004444,1706444,
1252,0.09417825,2127870.5,1713037.808,1997246,1698614,
1253,0.09390553,2136222.979,1720842.224,2004334,1702931,
1254,0.09364992,2140879.706,1725608.776,2007682,1704140,
1255,0.09341192,2142173.935,1727598.469,1998432,1694958,
1256,0.09318393,2146333.589,1731862.024,2007215,1701198,
1257,0.09296155,2157819.374,1742021.624,2003380,1696962,
1258,0.09274611,2171744.547,1754133.464,1997246,1690765,
1259,0.09253811,2181493.245,1762851.646,1991532,1685361,
1260,0.09234013,2185940.544,1767250.905,1985263,1679937,
1261,0.09215712,2187032.107,1768878.657,1977205,1673284,
1262,0.09199142,2187912.5,1770265.986,1972192,1669152,
1263,0.09184263,2193056.868,1775036.395,1964622,1663526,
1264,0.09170752,2204186.563,1784599.754,1956756,1657884,
1265,0.09157394,2216199.861,1794878.187,1949824,1653241,
1266,0.09143108,2224113.195,1801879.754,1942716,1648729,
1267,0.09128783,2229045.696,1806471.621,1934485,1643519,
1268,0.091159,2234004.025,1811027.1,1914722,1628622,
1269,0.09104169,2239737.964,1816165.931,1912729,1628531,
1270,0.09092031,2245398.114,1821264.597,1903231,1622206,
1271,0.09079141,2250626.842,1826047.562,1876387,1601040,
1272,0.09066936,2255824.369,1830779.023,1867429,1594910,
1273,0.09056405,2261338.958,1835699.611,1845980,1577801,
1274,0.09046792,2267184.813,1840852.541,1820139,1556572,
1275,0.09037129,2273221.449,1846164.762,1792188,1533261,
1276,0.09027159,2278692.961,1851033.242,1753170,1500159,
1277,0.09016903,2282688.396,1854716.762,1726477,1477266,
1278,0.09006342,2285944.219,1857813.921,1695510,1450314,
1279,0.08995453,2290546.33,1862020.879,1652085,1412595,
1280,0.08984161,2296889.861,1867663.187,1623789,1387246,
1281,0.08972223,2302512.836,1872750.099,1583224,1351734,
1282,0.08959588,2305655.417,1875851.774,1539264,1313088,
1283,0.08947062,2307867.609,1878193.245,1493039,1272306,
1284,0.08935463,2311134.41,1881354.213,1444165,1229457,
1285,0.08924096,2315421.679,1885337.631,1389834,1181935,
1286,0.08911648,2319833.533,1889471.482,1333775,1133175,
1287,0.08898406,2324405.473,1893772.588,1273033,1080503,
1288,0.08886079,2329986.371,1898858.435,1209697,1025768,
1289,0.08875506,2335767.926,1904033.698,1144724,969947,
1290,0.08865906,2338027.754,1906297.18,1078440,913257,
1291,0.08856598,2334983.766,1904223.365,1011008,855276,
1292,0.08848003,2332683.557,1902723.99,935437,790934,
1293,0.0884083,2337628.557,1907072.518,866098,732045,
1294,0.08835389,2346861.783,1914845.006,788393,665929,
1295,0.0883171,2353401.229,1920343.296,699230,590409,
1296,0.08829435,2355024.92,1921768.897,614392,518527,
1297,0.08827918,2353710.159,1920763.106,522857,441148,
1298,0.08827112,2352300.162,1919648.068,431041,363440,
1299,0.08827964,2354842.094,1921684.793,343824,289630,
1300,0.08831169,2363385.861,1928514.637,262398,220909,
1301,0.08836345,2373033.612,1936156.399,194389,163413,
1302,0.0884298,2378384.739,1940225.945,137662,115596,
1303,0.08850935,2380339.548,1941464.985,93522,78219,
1304,0.08860233,2382293.193,1942642.457,63404,52956,
1305,0.08871595,2385541.641,1944782.569,43352,35991,
1306,0.08886289,2389682.366,1947499.216,31246,25774,
1307,0.08904519,2393154.829,1949510.61,24351,19971,
1308,0.0892496,2392758.189,1948270.287,20443,16509,
1309,0.08946827,2387810.975,1943263.394,18300,14735,
1310,0.08970846,2385139.299,1940015.917,16945,13668,
1311,0.08997675,2390950.727,1943541.749,15903,12825,
1312,0.09027589,2400438.951,1949910.916,15221,12230,
1313,0.09060971,2405426.389,1952460.967,14583,11672,
1314,0.09097111,2404024.544,1949699.975,14247,11298,
1315,0.09134394,2398598.974,1943630.492,13711,10992,
1316,0.09172876,2392972.905,1937354.171,13268,10608,
1317,0.09214589,2392638.891,1935224.115,12996,10247,
1318,0.09260797,2399479.846,1938693.405,12604,10077,
1319,0.09311597,2406997.848,1942494.191,12394,9705,
1320,0.09367092,2409323.449,1941888.023,,,
1321,0.09425986,2408373.894,1938492.157,,,
1322,0.09486494,2407838.761,1935363.11,,,
1323,0.09548886,2408236.202,1932903.694,,,
1324,0.09614635,2408470.46,1930167.376,,,
1325,0.09684159,2408254.635,1926907.254,,,
1326,0.09756775,2408075.043,1923544.623,,,
1327,0.09832385,2408245.184,1920334.365,,,
1328,0.09912031,2408735.654,1917206.225,,,
1329,0.09996198,2409241.603,1913896.163,,,
1330,0.10083299,2408698.668,1909631.113,,,
1331,0.10171869,2406288.844,1903833.934,,,
1332,0.1026281,2403579.194,1897712.13,,,
1333,0.10357535,2402790.447,1892956.116,,,
1334,0.10456318,2403180.513,1888961.967,,,
1335,0.10559068,2402060.255,1883619.678,,,
1336,0.10665317,2398829.214,1876489.576,,,
1337,0.10773603,2395418.67,1869155.366,,,
1338,0.10882929,2393025.946,1862593.655,,,
1339,0.10994077,2390981.496,1856245.642,,,
1340,0.11107961,2388706.77,1849623.058,,,
1341,0.11224495,2386909.262,1843278.493,,,
1342,0.11343069,2386154.519,1837671.492,,,
1343,0.11462419,2383596.845,1830663.871,,,
1344,0.11581806,2375285.4,1819272.453,,,
1345,0.11702935,2364148.635,1805699.295,,,
1346,0.11827962,2358437.091,1796158.558,,,
1347,0.11955827,2359784.908,1791901.576,,,
1348,0.12083497,2360570.77,1787236.613,,,
1349,0.12209755,2355493.902,1778215.681,,,
1350,0.1233477,2346432.536,1766283.338,,,
1351,0.12458862,2336472.83,1753767.887,,,
1352,0.12584227,2329370.251,1743396.855,,,
1353,0.12712545,2328296.581,1737452.131,,,
1354,0.12841553,2330089.248,1733632.446,,,
1355,0.12968352,2328755.201,1727588.56,,,
1356,0.13093362,2323324.444,1718605.662,,,
1357,0.1321871,2317066.685,1709036.881,,,
1358,0.13345073,2311974.82,1700326.673,,,
1359,0.13471643,2308019.895,1692478.325,,,
1360,0.13597037,2304124.304,1684750.285,,,
1361,0.13718979,2297005.655,1674835.948,,,
1362,0.13836857,2284869.743,1661471.434,,,
1363,0.13955228,2273985.302,1649055.865,,,
1364,0.14077961,2271511.886,1642613.564,,,
1365,0.14202094,2273703.297,1639505.407,,,
1366,0.14323268,2271869.133,1633618.443,,,
1367,0.14441069,2263430.876,1623142.103,,,
1368,0.14557137,2250893.89,1609843.472,,,
1369,0.14674194,2238099.616,1596384.379,,,
1370,0.14796265,2230494.317,1586494.122,,,
1371,0.14923853,2229940.498,1581447.367,,,
1372,0.15051621,2229771.31,1576682.005,,,
1373,0.15176501,2224118.423,1568169.136,,,
1374,0.15302369,2215165.643,1557336.683,,,
1375,0.15433533,2206653.814,1546674.335,,,
1376,0.1557015,2198908.697,1536404.957,,,
1377,0.15710957,2190824.399,1525801.355,,,
1378,0.15855671,2182234.809,1514763.294,,,
1379,0.16004554,2173657.817,1503646.108,,,
