Batch Number,B2600069,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF100001,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,
NIR-Code,M20260209-00094,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,1860,1904,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,7217,7076,,,,,
Lamp PD:,91,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1048,0.32797762,2273865.202,1068530.928,,,,
1049,0.32767712,2270216.764,1067554.878,,,,
1050,0.32737826,2266574.526,1066575.834,,,,
1051,0.3270806,2262930.869,1065591.342,,,,
1052,0.32678364,2259277.157,1064598.564,,,,
1053,0.32648685,2255604.755,1063594.663,,,,
1054,0.32618974,2251905.025,1062576.803,,,,
1055,0.32589178,2248169.331,1061542.146,,,,
1056,0.32559244,2244389.038,1060487.855,,,,
1057,0.32529119,2240555.509,1059411.093,,,,
1058,0.32498749,2236660.107,1058309.024,,,,
1059,0.32468079,2232694.197,1057178.81,,,,
1060,0.32437059,2228649.784,1056017.799,,,,
1061,0.32405694,2224526.481,1054825.538,,,,
1062,0.3237403,2220328.881,1053603.012,,,,
1063,0.32342113,2216061.665,1052351.231,,,,
1064,0.32309987,2211729.513,1051071.205,,,,
1065,0.32277701,2207337.105,1049763.943,,,,
1066,0.32245301,2202889.121,1048430.457,,,,
1067,0.32212834,2198390.242,1047071.756,,,,
1068,0.32180349,2193845.146,1045688.85,,,,
1069,0.32147894,2189258.515,1044282.75,,,,
1070,0.32115519,2184635.031,1042854.465,,,,
1071,0.32083267,2179979.944,1041405.396,,,,
1072,0.32051174,2175299.881,1039937.871,,,,
1073,0.32019272,2170601.668,1038454.359,,,,
1074,0.31987594,2165892.132,1036957.326,,,,
1075,0.31956174,2161178.101,1035449.24,,,,
1076,0.31925048,2156466.402,1033932.569,,,,
1077,0.3189425,2151763.862,1032409.78,,,,
1078,0.31863816,2147077.308,1030883.341,,,,
1079,0.31833783,2142413.567,1029355.718,,,,
1080,0.31804187,2137779.467,1027829.38,,,,
1081,0.31775066,2133181.522,1026306.669,,,,
1082,0.31746448,2128623.859,1024788.977,,,,
1083,0.31718358,2124109.508,1023277.258,,,,
1084,0.31690822,2119641.493,1021772.465,,,,
1085,0.31663865,2115222.839,1020275.549,,,,
1086,0.31637513,2110856.568,1018787.462,,,,
1087,0.31611793,2106545.705,1017309.156,,,,
