Batch Number,B2600076,,,,,,,
Category,Livestock,,,,,,,
Specie,Goat,,,,,,,
Family,Dairy,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PGNG250601,,,,,,,
Product name,GOAT FEED - NEWBORN KID,,,,,,,
NIR-Code,D20260211-00100,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2323,2358,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,4866,4808,,,,,,
Lamp PD:,93,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1060,0.07271836,1883109.237,1592784.978,1901532,831242,,,
1061,0.07256306,1875300.896,1586747.784,1915326,839770,,,
1062,0.07239798,1869480.988,1582424.784,1926523,847425,,,
1063,0.07222124,1867839.194,1581678.634,1924880,849971,,,
1064,0.07203918,1868075.566,1582542.052,1942743,861953,,,
1065,0.07185881,1866909.69,1582211.37,1948141,868989,,,
1066,0.07168301,1862909.635,1579460.542,1952546,876455,,,
1067,0.0715107,1857022.499,1575093.944,1957660,885198,,,
1068,0.07134083,1850384.88,1570078.04,1963781,895379,,,
1069,0.07117165,1844387.293,1565598.773,1966327,904988,,,
1070,0.07100141,1840535.697,1562941.899,1971709,917241,,,
1071,0.07083085,1839328.744,1562530.513,1974458,929414,,,
1072,0.07066532,1838837.762,1562708.927,1976040,942407,,,
1073,0.07050955,1836882.277,1561607.099,1978443,957027,,,
1074,0.07035838,1833093.989,1558929.06,1980409,972851,,,
1075,0.07019896,1828623.492,1555698.166,1981608,989685,,,
1076,0.07002263,1824492.081,1552813.711,1969968,1001399,,,
1077,0.06983925,1820946.77,1550450.837,1980621,1025399,,,
1078,0.06966367,1818008.074,1548574.627,1985188,1047725,,,
1079,0.06950299,1815070.421,1546644.465,1973326,1062464,,,
1080,0.06935326,1810662.823,1543420.728,1984084,1089918,,,
1081,0.06920951,1803659.378,1537959.911,1985252,1112949,,,
1082,0.06906878,1796047.01,1531965.281,1985696,1136079,,,
1083,0.0689299,1791234.509,1528349.028,1988560,1160730,,,
1084,0.06879405,1790618.724,1528301.613,1982017,1179910,,,
1085,0.06866522,1791225.552,1529273.13,1995081,1210169,,,
1086,0.06854634,1789704.946,1528393.218,2007895,1240005,,,
1087,0.06843376,1785233.146,1524969.578,2009578,1262549,,,
1088,0.06831979,1778747.877,1519828.588,2033686,1297923,,,
1089,0.06819992,1771461.642,1514020.764,2046669,1325607,,,
1090,0.06808023,1765361.668,1509223.172,2060851,1353075,,,
1091,0.0679693,1762482.529,1507146.681,2078147,1381323,,,
1092,0.06787235,1762447.549,1507453.238,2098944,1411202,,,
1093,0.06779051,1762525.955,1507804.433,2116554,1437453,,,
1094,0.06772203,1760498.558,1506307.509,2139002,1466318,,,
1095,0.06765525,1756944.634,1503497.902,2158048,1491918,,,
1096,0.0675761,1753227.277,1500590.234,2176456,1516092,,,
1097,0.06748314,1750001.967,1498150.349,2195104,1539573,,,
1098,0.06739099,1747016.971,1495912.31,2212586,1562098,,,
1099,0.0673138,1744014.434,1493606.776,2228831,1583320,,,
1100,0.06725615,1741060.719,1491275.108,2230377,1593765,,,
1101,0.06721891,1738342.202,1489074.273,2254917,1620604,,,
1102,0.06719531,1735924.348,1487083.946,2272799,1642927,,,
1103,0.06716632,1733680.364,1485260.782,2271506,1651599,,,
1104,0.06711564,1731447.196,1483520.704,2295425,1678537,,,
1105,0.06705652,1728916.694,1481554.208,2307411,1697192,,,
1106,0.06701566,1725718.612,1478952.839,2318188,1715168,,,
1107,0.06700522,1721920.278,1475733.098,2328892,1733460,,,
1108,0.06701011,1718401.044,1472700.46,2327262,1742685,,,
1109,0.06701347,1715990.005,1470622.757,2344616,1766151,,,
1110,0.06701054,1714297.924,1469182.527,2359356,1787630,,,
1111,0.06700289,1712305.986,1467501.254,2357984,1797264,,,
1112,0.0669967,1709518.336,1465133.038,2379558,1823999,,,
1113,0.06700752,1706517.936,1462525.129,2385323,1838482,,,
1114,0.06704948,1703957.826,1460189.963,2389564,1851775,,,
1115,0.06711128,1701903.336,1458221.871,2394680,1865333,,,
1116,0.06716747,1700094.62,1456483.665,2401703,1879695,,,
1117,0.0672085,1698431.309,1454921.249,2401844,1888431,,,
1118,0.06725895,1697158.088,1453661.708,2407412,1900674,,,
1119,0.06734469,1696445.03,1452764.108,2407611,1908409,,,
1120,0.06746163,1695321.204,1451410.829,2406926,1914576,,,
1121,0.06758931,1692188.054,1448302.614,2407415,1921094,,,
1122,0.0677187,1686915.047,1443359.497,2407081,1926374,,,
1123,0.06786385,1682423.363,1439035.281,2406193,1930403,,,
1124,0.06804009,1681584.007,1437733.781,2391137,1922374,,,
1125,0.06825568,1683400.523,1438572.595,2400398,1933192,,,
1126,0.06851619,1684835.66,1438935.604,2402317,1937714,,,
1127,0.06881774,1684074.822,1437287.475,2384508,1925932,,,
1128,0.06913599,1681673.259,1434186.508,2392451,1934109,,,
1129,0.06944897,1678520.451,1430466.411,2387595,1931636,,,
1130,0.06977658,1676041.525,1427276.766,2380338,1926813,,,
1131,0.07015763,1675896.749,1425901.845,2373543,1921844,,,
1132,0.07060335,1678293.6,1426476.384,2354003,1906162,,,
1133,0.0710815,1681013.498,1427215.994,2353727,1905809,,,
1134,0.07156381,1681985.645,1426456.296,2350069,1902303,,,
1135,0.07206052,1681613.23,1424510.306,2332726,1887400,,,
1136,0.07259532,1681280.924,1422476.062,2337758,1890669,,,
1137,0.07317414,1681756.399,1420983.214,2328136,1881626,,,
1138,0.07377964,1682948.524,1420009.314,2317294,1871835,,,
1139,0.07439798,1684525.258,1419317.457,2308365,1863296,,,
1140,0.07504239,1685243.116,1417816.989,2302133,1856981,,,
1141,0.07573588,1683652.794,1414218.957,2288708,1844870,,,
1142,0.07648011,1680643.624,1409274.264,2280635,1837262,,,
1143,0.07724754,1679671.179,1405972.202,2268351,1826275,,,
1144,0.07801228,1683057.888,1406328.501,2255600,1814649,,,
1145,0.07878342,1688306.471,1408211.419,2243596,1803885,,,
1146,0.07958318,1691909.386,1408620.217,2231094,1792546,,,
1147,0.08041751,1692669.869,1406548.646,2217526,1780323,,,
1148,0.08127501,1691304.872,1402642.17,2192028,1758236,,,
1149,0.08214865,1689024.479,1397936.029,2187223,1752779,,,
1150,0.0830454,1688213.802,1394382.911,2175342,1741423,,,
1151,0.08396893,1691124.754,1393820.074,2146686,1716593,,,
1152,0.08491042,1696592.4,1395298.397,2140433,1709152,,,
1153,0.08586023,1701444.021,1396231.497,2122985,1692837,,,
1154,0.08681587,1704045.378,1395292.572,2105454,1675993,,,
1155,0.08777705,1705650.969,1393519.723,2090165,1660815,,,
1156,0.08874188,1707633.003,1392043.015,2067709,1639778,,,
1157,0.08971634,1710111.646,1390939.116,2064621,1633752,,,
1158,0.09071031,1712717.96,1389874.37,2060538,1626550,,,
1159,0.09171916,1715351.684,1388781.788,2046951,1611434,,,
1160,0.09271944,1718243.791,1387922.905,2052484,1611190,,,
1161,0.09369246,1721580.428,1387505.951,2044694,1599937,,,
