Batch Number,B2600092,,,,,,
Category,Livestock,,,,,,
Specie,Horse,,,,,,
Family,Pleasure,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PHRS250801,,,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,,,
NIR-Code,D20260216-00112,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2102,2332,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4778,4172,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1039,0.09589082,1946561.89,1560908.327,1620919,702803,,
1040,0.09570337,1944263.907,1559738.676,1648004,712319,,
1041,0.09551373,1942009.526,1558610.618,1665018,717442,,
1042,0.09531602,1939596.545,1557382.842,1681172,722186,,
1043,0.09511639,1936749.58,1555811.883,1698192,727563,,
1044,0.0949218,1933221.789,1553673.93,1715739,732898,,
1045,0.09473451,1929299.646,1551190.62,1730598,737438,,
1046,0.09455337,1925677.355,1548924.147,1747966,743012,,
1047,0.09437729,1922879.505,1547300.895,1762706,747497,,
1048,0.09420479,1920536.057,1546029.139,1776160,751882,,
1049,0.09403402,1918002.378,1544596.751,1790370,756407,,
1050,0.09386296,1914953.39,1542748.9,1803899,760840,,
1051,0.09368958,1911667.834,1540716.932,1816915,765434,,
1052,0.09351238,1908475.859,1538772.047,1817716,765129,,
1053,0.09333642,1905473.156,1536973.608,1839292,773904,,
1054,0.09317175,1902574.807,1535217.793,1854810,780232,,
1055,0.09302405,1899737.936,1533450.098,1854744,780434,,
1056,0.09287797,1897139.006,1531867.445,1875032,789561,,
1057,0.09271217,1895010.444,1530732.974,1885783,794866,,
1058,0.09252214,1892937.933,1529728.078,1894106,799592,,
1059,0.09233151,1889411.929,1527548.979,1903124,804814,,
1060,0.09216375,1883055.942,1522998.477,1900278,805438,,
1061,0.09201335,1875327.988,1517273.526,1914162,813544,,
1062,0.0918565,1869541.675,1513138.409,1925478,820986,,
1063,0.0916767,1867844.431,1512390.709,1923629,823429,,
1064,0.09148279,1867988.593,1513182.902,1941581,834830,,
1065,0.0912881,1866766.196,1512870.769,1947126,841720,,
1066,0.09109782,1862760.407,1510285.944,1951723,848908,,
1067,0.0909081,1856859.61,1506159.5,1956833,857123,,
1068,0.09071571,1850147.399,1501379.972,1962912,866905,,
1069,0.09052425,1844043.372,1497086.442,1965384,876125,,
1070,0.090341,1840120.836,1494532.442,1970936,888055,,
1071,0.09016912,1838913.404,1494142.964,1973791,899784,,
1072,0.09000033,1838448.848,1494346.196,1975590,912331,,
1073,0.08982433,1836494.446,1493362.65,1978006,926790,,
1074,0.08963948,1832678.97,1490894.526,1979827,942058,,
1075,0.08945204,1828191.429,1487885.917,1981251,958578,,
1076,0.08926789,1824079.434,1485168.943,1969725,970011,,
1077,0.08908811,1820557.583,1482915.185,1980559,993422,,
1078,0.08891239,1817598.662,1481104.161,1985302,1015127,,
1079,0.08874082,1814585.926,1479233.45,1973369,1029431,,
1080,0.08857371,1810087.746,1476134.465,1984655,1056053,,
1081,0.08841083,1803017.81,1470920.447,1985964,1078451,,
1082,0.08825139,1795376.18,1465224.159,1986424,1100601,,
1083,0.08809532,1790572.54,1461829.077,1989523,1124421,,
1084,0.08794411,1789990.37,1461862.706,1983124,1142756,,
1085,0.08780004,1790611.493,1462855.175,1996296,1171461,,
1086,0.08766423,1789043.03,1462030.904,2009225,1200044,,
1087,0.08753496,1784486.446,1458741.353,2011148,1221337,,
1088,0.0874091,1777952.138,1453821.085,2035613,1255005,,
1089,0.08728363,1770696.368,1448306.457,2048639,1281115,,
1090,0.08715526,1764653.226,1443790.273,2063024,1306875,,
1091,0.08702153,1761786.927,1441889.088,2080598,1333481,,
1092,0.08688864,1761703.077,1442261.705,2101473,1361128,,
1093,0.08677042,1761704.569,1442655.571,2118998,1386124,,
1094,0.08667684,1759609.963,1441250.837,2141566,1413154,,
1095,0.08660185,1756045.173,1438579.372,2160972,1436969,,
1096,0.08653517,1752420.462,1435830.398,2179234,1459649,,
1097,0.08646745,1749361.877,1433547.887,2198146,1481839,,
1098,0.08639037,1746490.057,1431448.566,2215726,1502791,,
1099,0.08629897,1743442.661,1429251.652,2232029,1522978,,
1100,0.08620905,1740361.443,1427021.129,2233823,1532767,,
1101,0.08614414,1737574.494,1424948.894,2258600,1558370,,
1102,0.08611011,1735205.332,1423117.5,2276425,1579716,,
1103,0.08608447,1733052.239,1421435.571,2275168,1587866,,
1104,0.08604537,1730875.826,1419778.334,2299034,1613683,,
1105,0.08599571,1728370.329,1417885.273,2310884,1631687,,
1106,0.08594973,1725203.64,1415437.291,2321095,1648918,,
