Batch Number,B2500166,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040021,,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,,
NIR-Code,M20260202-00080,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2493,2557,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5481,5420,,,,,,
Lamp PD:,91,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1015,0.2902114,2358938.359,1209219.65,,,,,
1016,0.28999764,2357275.143,1208961.955,,,,,
1017,0.28977895,2355559.626,1208690.623,,,,,
1018,0.28955561,2353790.769,1208404.25,,,,,
1019,0.28932812,2351964.233,1208099.176,,,,,
1020,0.28909699,2350075.662,1207771.727,,,,,
1021,0.28886269,2348120.696,1207418.226,,,,,
1022,0.28862573,2346094.978,1207034.998,,,,,
1023,0.28838659,2343994.147,1206618.369,,,,,
1024,0.28814577,2341813.847,1206164.661,,,,,
1025,0.28790375,2339549.719,1205670.201,,,,,
1026,0.28766102,2337197.403,1205131.312,,,,,
1027,0.28741807,2334752.542,1204544.319,,,,,
1028,0.28717534,2332211.509,1203906.032,,,,,
1029,0.286933,2329575.909,1203216.732,,,,,
1030,0.2866911,2326849.63,1202478.216,,,,,
1031,0.28644968,2324036.571,1201692.285,,,,,
1032,0.28620881,2321140.627,1200860.74,,,,,
1033,0.28596852,2318165.697,1199985.383,,,,,
1034,0.28572888,2315115.677,1199068.016,,,,,
1035,0.28548994,2311994.465,1198110.441,,,,,
1036,0.28525176,2308805.958,1197114.46,,,,,
