Batch Number,B2600082,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEG250201 ,,,,,,,
Product name, CHICKEN FEED - BALADI GROWER 1,,,,,,,
NIR-Code,D20260211-00103,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2325,2482,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,4936,4588,,,,,,
Lamp PD:,93,94,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1089,0.04036072,1771947.07,1614693.239,2049405,1367097,,,
1090,0.04028305,1765940.678,1609507.703,2063573,1394901,,,
1091,0.04019316,1763125.752,1607274.781,2080994,1423868,,,
1092,0.04008933,1763092.987,1607629.201,2101904,1454488,,,
1093,0.03999057,1763135.119,1608033.265,2119547,1481507,,,
1094,0.039912,1761059.006,1606430.376,2142018,1511550,,,
1095,0.03984958,1757470.897,1603387.751,2161172,1537892,,,
1096,0.03979411,1753760.339,1600206.892,2179645,1563162,,,
1097,0.03974032,1750579.489,1597502.399,2198343,1587935,,,
1098,0.03968784,1747635.124,1595008.22,2215933,1611473,,,
1099,0.03963784,1744634.1,1592452.608,2232176,1633793,,,
1100,0.03959913,1741660.419,1589880.037,2233857,1645264,,,
1101,0.03958322,1738937.565,1587452.609,2258655,1673617,,,
1102,0.03958676,1736540.723,1585251.634,2276489,1697019,,,
1103,0.03958258,1734309.289,1583229.836,2275214,1706525,,,
1104,0.03954689,1732049.865,1581297.204,2298989,1734785,,,
1105,0.03949838,1729479.434,1579126.873,2310580,1754499,,,
1106,0.03947514,1726277.914,1576288.035,2321066,1773597,,,
