Batch Number,B2600079,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEP250401,,,,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 1,,,,,,,
NIR-Code,D20260211-00101,,,,,,,
,,,,,,,,
,,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2378,2500,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5041,4625,,,,,,
Lamp PD:,94,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
1073,0.05466345,1836527.251,1619324.631,1978437,982892,,,
1074,0.054488,1832656.034,1616564.2,1980331,998396,,,
1075,0.05431288,1828140.031,1613231.063,1981565,1014995,,,
1076,0.05414656,1824083.68,1610268.139,1969764,1026287,,,
1077,0.05398812,1820666.757,1607838.187,1980644,1050093,,,
1078,0.05383407,1817802.732,1605878.479,1985199,1072327,,,
1079,0.0536844,1814845.131,1603818.324,1973175,1086436,,,
1080,0.05354374,1810373.488,1600384.882,1984011,1113652,,,
1081,0.05341579,1803315.708,1594615.479,1985177,1136437,,,
1082,0.05329716,1795686.486,1588302.992,1985644,1159099,,,
1083,0.0531819,1790910.243,1584498.809,1988637,1183701,,,
1084,0.05306635,1790370.195,1584442.522,1982038,1202328,,,
1085,0.0529501,1791015.408,1585437.856,1995160,1232356,,,
1086,0.05283273,1789420.544,1584454.202,2007883,1262308,,,
1087,0.05271863,1784813.345,1580789.975,2009679,1284558,,,
1088,0.05261616,1778271.431,1575367.525,2033900,1319931,,,
1089,0.05252956,1771086.508,1569315.306,2046804,1347670,,,
1090,0.05244841,1765122.346,1564322.885,2060827,1375111,,,
1091,0.05236005,1762255.919,1562100.33,2078172,1403543,,,
1092,0.05226512,1762104.265,1562307.383,2099202,1433474,,,
1093,0.05217675,1762078.05,1562602.054,2116617,1459901,,,
1094,0.05210536,1760070.58,1561078.436,2139149,1489160,,,
1095,0.05204855,1756612.504,1558215.13,2158312,1515019,,,
1096,0.05200052,1752973.451,1555159.067,2176663,1539498,,,
1097,0.05195662,1749766.965,1552471.362,2195373,1563526,,,
1098,0.05191352,1746765.44,1549962.074,2212808,1586361,,,
1099,0.05186884,1743736.479,1547433.558,2229190,1607950,,,
1100,0.05182555,1740753.68,1544940.542,2230763,1618388,,,
1101,0.05178864,1738004.013,1542631.29,2255369,1645732,,,
1102,0.05176071,1735567.258,1540567.521,2273205,1668402,,,
1103,0.05174052,1733352.72,1538673.315,2271902,1677165,,,
1104,0.05172638,1731224.631,1536834.309,2295776,1704415,,,
1105,0.05171578,1728820.833,1534737.847,2307730,1723355,,,
1106,0.05170594,1725680.452,1531984.735,2318400,1741611,,,
1107,0.05169802,1721837.444,1528600.971,2329329,1760426,,,
1108,0.05170064,1718244.307,1525401.858,2327687,1769534,,,
1109,0.05172155,1715806.543,1523164.369,2345113,1793599,,,
1110,0.0517528,1714138.186,1521573.841,2359646,1815473,,,
1111,0.05177837,1712185.741,1519751.253,2358301,1825571,,,
1112,0.05179364,1709425.755,1517248.094,2380006,1852920,,,
1113,0.05181751,1706428.732,1514504.77,2385705,1867894,,,
1114,0.05186927,1703839.628,1512026.645,2390157,1881591,,,
1115,0.05194391,1701739.907,1509903.776,2395134,1895660,,,
1116,0.0520229,1699899.224,1507996.292,2402101,1910579,,,
1117,0.05209947,1698236.06,1506255.288,2402327,1919677,,,
1118,0.05219222,1696991.093,1504829.67,2407762,1932497,,,
1119,0.05232032,1696327.244,1503797.355,2408151,1940429,,,
1120,0.05247765,1695264.148,1502310.58,2407249,1947047,,,
1121,0.05264442,1692192.563,1499012.865,2407847,1953871,,,
1122,0.05281306,1686974,1493809.896,2407579,1959480,,,
1123,0.05300023,1682527.355,1489230.446,2406563,1963687,,,
1124,0.05322295,1681720.909,1487753.468,2391579,1955982,,,
1125,0.05348373,1683545.133,1488473.261,2400766,1967368,,,
1126,0.05377886,1684944.439,1488698.419,2402457,1972164,,,
1127,0.05410515,1684110.873,1486844.415,2384928,1960374,,,
1128,0.05445759,1681654.119,1483471.077,2392731,1968963,,,
1129,0.05483223,1678515.251,1479425.367,2387626,1966719,,,
1130,0.0552393,1676105.93,1475917.788,2380672,1961999,,,
1131,0.0556946,1676042.146,1474315.186,2373844,1957378,,,
1132,0.05619962,1678497.46,1474759.035,2354152,1941382,,,
1133,0.05673536,1681236.968,1475344.952,2353905,1941237,,,
1134,0.05728737,1682181.58,1474298.771,2350157,1937879,,,
1135,0.0578673,1681767.825,1471969.242,2332820,1923002,,,
1136,0.05849511,1681429.719,1469547.42,2337865,1926459,,,
1137,0.05917613,1681950.773,1467699.528,2328203,1917556,,,
1138,0.05989712,1683209.19,1466361.246,2317476,1907642,,,
1139,0.06064354,1684838.135,1465259.84,2308471,1899351,,,
1140,0.06140101,1685555.666,1463329.374,2302238,1893049,,,
1141,0.06215852,1683875.925,1459323.488,2288677,1881068,,,
1142,0.06293646,1680735.693,1453995.177,2280673,1873337,,,
1143,0.06378426,1679730.175,1450291.385,2268344,1862366,,,
1144,0.064725,1683270.74,1450203.594,2255558,1850724,,,
1145,0.06569928,1688737.876,1451653.479,2243612,1839955,,,
1146,0.06663964,1692459.266,1451705.693,2230918,1828383,,,
1147,0.06754785,1693203.517,1449310.061,2217501,1816382,,,
1148,0.06847776,1691760.669,1444977.765,2191933,1794030,,,
1149,0.06946363,1689401.646,1439690.983,2187024,1788658,,,
1150,0.07048279,1688530.6,1435575.851,2175187,1777442,,,
1151,0.07150067,1691409.82,1434657.303,2146568,1752130,,,
1152,0.07251485,1696867.27,1435929.186,2140374,1745042,,,
1153,0.07354917,1701712.96,1436604.201,2122701,1728573,,,
1154,0.07461998,1704312.778,1435255.841,2105204,1711616,,,
1155,0.07571717,1705953.715,1433012.824,2089922,1696586,,,
1156,0.07682406,1708031.42,1431105.987,2067543,1675261,,,
1157,0.07792221,1710608.554,1429645.731,2064401,1669250,,,
1158,0.07899447,1713228.753,1428304.776,2060382,1662175,,,
1159,0.08003875,1715780.186,1426996.477,2046811,1646833,,,
1160,0.08107013,1718575.433,1425930.857,2052513,1646708,,,
1161,0.08210182,1721867.08,1425272.164,2044617,1635413,,,
1162,0.08313795,1725568.649,1424932.51,2034182,1621673,,,
1163,0.08418023,1729493.48,1424750.115,2024022,1607903,,,
1164,0.08522187,1733198.316,1424381.694,2016028,1595957,,,
1165,0.08625024,1736040.515,1423343.14,2000428,1578009,,,
1166,0.08725737,1737973.582,1421627.454,1989977,1564280,,,
1167,0.08824245,1740356.353,1420351.168,1976373,1548314,,,
1168,0.08920425,1744470.789,1420559.584,1961837,1532047,,,
1169,0.09015364,1749408.798,1421469.906,1948946,1517959,,,
1170,0.09111058,1753254.588,1421459.228,1936291,1504822,,,
1171,0.09207399,1755499.808,1420125.741,1923350,1492067,,,
1172,0.09300811,1757576.159,1418750.536,1901827,1473695,,,
1173,0.09388377,1760702.704,1418411.543,1898078,1470137,,,
1174,0.09472241,1764611.768,1418818.246,1888626,1462800,,,
1175,0.0955588,1768683.147,1419355.674,1867371,1447127,,,
1176,0.09640695,1772894.546,1419959.504,1864709,1446665,,,
1177,0.0972633,1777691.321,1420996.649,1853141,1440461,,,
1178,0.09811703,1782762.182,1422251.43,1841373,1434381,,,
1179,0.0989456,1786092.108,1422192.066,1830682,1429907,,,
1180,0.09973288,1786045.689,1419579.373,1813003,1420606,,,
