Batch Number,B2500392,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040021,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,
NIR-Code,M20260202-00082,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2470,2540,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5563,5430,,,,,
Lamp PD:,93,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1025,0.25174473,2339485.742,1310314.878,,,,
1026,0.251501,2337133.276,1309732.119,,,,
1027,0.25125539,2334684.716,1309100.075,,,,
1028,0.25100834,2332135.711,1308414.907,,,,
1029,0.25076008,2329487.928,1307676.709,,,,
1030,0.25051078,2326745.652,1306887.284,,,,
1031,0.25026061,2323913.183,1306048.446,,,,
1032,0.25000975,2320994.817,1305162.006,,,,
1033,0.24975836,2317994.852,1304229.776,,,,
1034,0.24950661,2314917.587,1303253.569,,,,
1035,0.24925469,2311767.317,1302235.195,,,,
1036,0.24900277,2308548.343,1301176.467,,,,
1037,0.24875104,2305264.96,1300079.197,,,,
1038,0.24849967,2301921.466,1298945.196,,,,
1039,0.24824884,2298522.45,1297776.506,,,,
1040,0.24799862,2295073.751,1296576.152,,,,
1041,0.24774905,2291581.544,1295347.425,,,,
1042,0.2475002,2288052.007,1294093.616,,,,
1043,0.24725212,2284491.317,1292818.017,,,,
1044,0.24700487,2280905.649,1291523.92,,,,
1045,0.24675851,2277301.181,1290214.616,,,,
1046,0.24651312,2273684.09,1288893.396,,,,
1047,0.24626877,2270060.552,1287563.552,,,,
1048,0.24602552,2266436.743,1286228.375,,,,
1049,0.24578345,2262818.797,1284891.135,,,,
1050,0.24554249,2259208.039,1283552.785,,,,
1051,0.24530233,2255596.71,1282209.897,,,,
1052,0.24506259,2251976.045,1280858.559,,,,
1053,0.24482292,2248337.277,1279494.856,,,,
1054,0.24458293,2244671.64,1278114.875,,,,
1055,0.24434225,2240970.368,1276714.703,,,,
1056,0.2441005,2237224.694,1275290.426,,,,
1057,0.24385729,2233425.851,1273838.131,,,,
1058,0.24361223,2229565.075,1272353.904,,,,
1059,0.2433649,2225633.598,1270833.833,,,,
1060,0.24311494,2221623.313,1269274.283,,,,
1061,0.24286237,2217533.935,1267674.937,,,,
1062,0.24260746,2213370.298,1266037.651,,,,
1063,0.24235048,2209137.325,1264364.317,,,,
1064,0.24209174,2204839.938,1262656.827,,,,
1065,0.2418315,2200483.06,1260917.075,,,,
1066,0.24157008,2196071.615,1259146.952,,,,
1067,0.24130776,2191610.526,1257348.352,,,,
1068,0.24104485,2187104.714,1255523.166,,,,
1069,0.24078164,2182559.104,1253673.288,,,,
1070,0.24051845,2177978.618,1251800.61,,,,
1071,0.24025564,2173368.604,1249907.128,,,,
1072,0.2399937,2168735.422,1247995.087,,,,
1073,0.23973312,2164085.581,1246066.766,,,,
1074,0.23947442,2159425.592,1244124.448,,,,
1075,0.23921812,2154761.966,1242170.413,,,,
1076,0.23896475,2150101.212,1240206.942,,,,
1077,0.23871483,2145449.841,1238236.315,,,,
1078,0.23846891,2140814.363,1236260.813,,,,
1079,0.23822752,2136201.288,1234282.718,,,,
1080,0.23799123,2131617.126,1232304.31,,,,
1081,0.23776057,2127068.13,1230327.774,,,,
1082,0.23753594,2122558.579,1228354.565,,,,
1083,0.23731767,2118091.847,1226385.803,,,,
1084,0.23710611,2113671.302,1224422.605,,,,
1085,0.2369016,2109300.312,1222466.087,,,,
1086,0.23670447,2104982.246,1220517.368,,,,
1087,0.23651509,2100720.472,1218577.564,,,,
1088,0.2363338,2096518.358,1216647.794,,,,
1089,0.23616095,2092379.272,1214729.174,,,,
1090,0.2359969,2088306.584,1212822.821,,,,
1091,0.23584199,2084303.502,1210929.797,,,,
1092,0.2356963,2080369.716,1209049.907,,,,
1093,0.23555959,2076501.484,1207181.736,,,,
1094,0.23543165,2072694.92,1205323.814,,,,
1095,0.23531223,2068946.137,1203474.673,,,,
1096,0.2352011,2065251.25,1201632.847,,,,
1097,0.23509802,2061606.372,1199796.865,,,,
1098,0.23500275,2058007.617,1197965.262,,,,
1099,0.23491504,2054451.099,1196136.567,,,,
1100,0.23483464,2050932.932,1194309.315,,,,
1101,0.2347613,2047449.28,1192482.049,,,,
1102,0.23469514,2043999.487,1190654.186,,,,
1103,0.23463683,2040587.944,1188826.525,,,,
1104,0.23458711,2037219.493,1186999.986,,,,
1105,0.23454671,2033898.973,1185175.493,,,,
1106,0.23451639,2030631.226,1183353.964,,,,
1107,0.23449688,2027421.092,1181536.322,,,,
1108,0.23448894,2024273.412,1179723.488,,,,
1109,0.23449333,2021193.026,1177916.384,,,,
1110,0.23451079,2018184.775,1176115.929,,,,
1111,0.2345421,2015253.501,1174323.043,,,,
1112,0.23458831,2012404.426,1172538.061,,,,
1113,0.2346511,2009643.539,1170760.138,,,,
1114,0.23473222,2006976.925,1168988.281,,,,
1115,0.23483343,2004410.669,1167221.5,,,,
1116,0.23495649,2001950.854,1165458.803,,,,
1117,0.23510317,1999603.565,1163699.199,,,,
1118,0.23527525,1997374.886,1161941.697,,,,
1119,0.23547451,1995270.902,1160185.304,,,,
1120,0.23570273,1993297.697,1158429.03,,,,
1121,0.2359617,1991461.341,1156671.877,,,,
1122,0.23625312,1989765.711,1154911.8,,,,
1123,0.23657852,1988210.146,1153144.589,,,,
1124,0.2369394,1986793.423,1151365.767,,,,
1125,0.23733728,1985514.319,1149570.855,,,,
1126,0.23777367,1984371.61,1147755.375,,,,
1127,0.2382501,1983364.074,1145914.849,,,,
1128,0.23876808,1982490.487,1144044.8,,,,
1129,0.23932916,1981749.626,1142140.749,,,,
1130,0.23993487,1981140.268,1140198.219,,,,
1131,0.24058675,1980661.198,1138212.753,,,,
1132,0.24128586,1980311.892,1136181.558,,,,
1133,0.24203246,1980092.968,1134104.613,,,,
1134,0.24282674,1980005.158,1131982.159,,,,
1135,0.24366886,1980049.191,1129814.438,,,,
1136,0.244559,1980225.796,1127601.691,,,,
1137,0.24549731,1980535.703,1125344.16,,,,
1138,0.24648398,1980979.642,1123042.086,,,,
1139,0.24751915,1981558.342,1120695.712,,,,
1140,0.24860299,1982272.533,1118305.277,,,,
1141,0.24973562,1983122.934,1115871.063,,,,
1142,0.2509167,1984109.958,1113394.411,,,,
1143,0.25214534,1985233.682,1110877.824,,,,
1144,0.25342061,1986494.17,1108323.868,,,,
1145,0.25474157,1987891.481,1105735.107,,,,
1146,0.25610728,1989425.678,1103114.103,,,,
1147,0.25751677,1991096.821,1100463.422,,,,
1148,0.25896905,1992904.972,1097785.628,,,,
1149,0.26046314,1994850.193,1095083.284,,,,
1150,0.26199802,1996932.544,1092358.954,,,,
1151,0.26357253,1999151.846,1089615.438,,,,
1152,0.26518398,2001505.424,1086857.964,,,,
1153,0.26682874,2003989.123,1084093.202,,,,
1154,0.26850316,2006598.77,1081327.839,,,,
1155,0.27020355,2009330.192,1078568.564,,,,
1156,0.27192621,2012179.215,1075822.065,,,,
1157,0.2736674,2015141.666,1073095.028,,,,
1158,0.27542336,2018213.371,1070394.143,,,,
1159,0.27719029,2021390.158,1067726.097,,,,
1160,0.27896439,2024667.852,1065097.578,,,,
1161,0.280742,2028042.432,1062514.91,,,,
1162,0.28252017,2031510.468,1059982.981,,,,
1163,0.2842961,2035068.681,1057506.325,,,,
1164,0.28606697,2038713.788,1055089.476,,,,
1165,0.28782997,2042442.509,1052736.969,,,,
1166,0.28958226,2046251.561,1050453.338,,,,
1167,0.291321,2050137.663,1048243.118,,,,
1168,0.29304336,2054097.535,1046110.842,,,,
1169,0.29474647,2058127.895,1044061.044,,,,
1170,0.29642751,2062225.437,1042098.154,,,,
1171,0.29808541,2066385.778,1040221.915,,,,
1172,0.29972145,2070603.056,1038425.643,,,,
1173,0.30133715,2074871.305,1036702.189,,,,
1174,0.30293406,2079184.554,1035044.402,,,,
1175,0.30451376,2083536.837,1033445.135,,,,
1176,0.30607786,2087922.184,1031897.236,,,,
1177,0.30762801,2092334.627,1030393.557,,,,
1178,0.30916588,2096768.199,1028926.947,,,,
1179,0.31069318,2101216.93,1027490.257,,,,
1180,0.31221121,2105676.186,1026077.99,,,,
1181,0.31371835,2110150.627,1024696.168,,,,
1182,0.31521164,2114648.868,1023355.715,,,,
1183,0.31668814,2119179.537,1022067.573,,,,
1184,0.31814483,2123751.266,1020842.682,,,,
1185,0.31957867,2128372.684,1019691.987,,,,
1186,0.32098659,2133052.42,1018626.427,,,,
1187,0.32236549,2137799.105,1017656.945,,,,
1188,0.32371225,2142621.367,1016794.483,,,,
1189,0.32502373,2147527.788,1016049.966,,,,
1190,0.32629661,2152523.704,1015433.147,,,,
1191,0.32752733,2157609.221,1014951.9,,,,
1192,0.32871232,2162783.975,1014613.926,,,,
1193,0.32984804,2168047.598,1014426.926,,,,
1194,0.33093097,2173399.725,1014398.602,,,,
1195,0.3319576,2178839.991,1014536.655,,,,
1196,0.33292447,2184368.029,1014848.786,,,,
1197,0.33382819,2189983.474,1015342.697,,,,
1198,0.33466536,2195685.959,1016026.089,,,,
1199,0.33543249,2201474.553,1016906.864,,,,
1200,0.33612497,2207345.054,1017994.081,,,,
1201,0.33673789,2213292.08,1019297.215,,,,
1202,0.33726641,2219310.253,1020825.742,,,,
1203,0.33770578,2225394.191,1022589.136,,,,
1204,0.33805136,2231538.514,1024596.875,,,,
1205,0.33829863,2237737.841,1026858.432,,,,
1206,0.33844318,2243986.792,1029383.284,,,,
1207,0.33848074,2250279.985,1032180.907,,,,
1208,0.3384072,2256612.17,1035260.691,,,,
1209,0.33822009,2262981.187,1038629.985,,,,
1210,0.3379185,2269388.034,1042294.053,,,,
1211,0.33750174,2275833.855,1046258.064,,,,
1212,0.3369692,2282319.792,1050527.188,,,,
1213,0.33632042,2288846.988,1055106.593,,,,
1214,0.33555506,2295416.585,1060001.45,,,,
1215,0.33467287,2302029.727,1065216.927,,,,
1216,0.33367376,2308687.555,1070758.194,,,,
1217,0.33255774,2315391.193,1076630.39,,,,
1218,0.33132825,2322134.252,1082826.984,,,,
1219,0.32999693,2328891.431,1089312.072,,,,
1220,0.32857642,2335634.504,1096045.198,,,,
1221,0.32707909,2342335.241,1102985.91,,,,
1222,0.32551696,2348965.415,1110093.751,,,,
1223,0.32390173,2355496.796,1117328.27,,,,
1224,0.32224471,2361901.159,1124649.011,,,,
1225,0.32055688,2368150.273,1132015.52,,,,
1226,0.31884882,2374215.911,1139387.343,,,,
1227,0.31713066,2380072.524,1146725.649,,,,
1228,0.31541147,2385710.335,1154001.16,,,,
1229,0.31369977,2391125.317,1161188.083,,,,
1230,0.31200388,2396313.45,1168260.627,,,,
1231,0.31033193,2401270.716,1175193.005,,,,
1232,0.30869181,2405993.096,1181959.426,,,,
1233,0.30709127,2410476.573,1188534.102,,,,
1234,0.30553788,2414717.126,1194891.244,,,,
1235,0.30403909,2418710.738,1201005.063,,,,
