Batch Number,B2600091,,,,,,,,,,,,,,,,,
Category,Poultry,,,,,,,,,,,,,,,,,
Specie,Chicken,,,,,,,,,,,,,,,,,
Family,Layer Baladi,,,,,,,,,,,,,,,,,
Brand,FARMFLAKES,,,,,,,,,,,,,,,,,
Product Code,PPEP250402,,,,,,,,,,,,,,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 2,,,,,,,,,,,,,,,,,
NIR-Code,D20260214-00107,,,,,,,,,,,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,,,,,,,,,,,
Head:,Reference,Sample,,,,,,,,,,,,,,,,
System Temp hundredths:,2371,2509,,,,,,,,,,,,,,,,
Detector Temp hundredths:,0,0,,,,,,,,,,,,,,,,
Humidity hundredths:,5424,4863,,,,,,,,,,,,,,,,
Lamp PD:,93,93,,,,,,,,,,,,,,,,
Tec Temp:,0,,,,,,,,,,,,,,,,,
Product SN:,8B6YK9LO,,,,,,,,,,,,,,,,,
Serial Number:,5B25203,,,,,,,,,,,,,,,,,
Scan Config Name:,IAS5100,,,,,,,,,,,,,,,,,
Scan Config Type:,2,,,,,,,,,,,,,,,,,
Start wavelength in nm:,900,,,,,,,,,,,,,,,,,
End wavelength in nm:,1700,,,,,,,,,,,,,,,,,
Pattern Pixel Width:,11,,,,,,,,,,,,,,,,,
Exposure Time:,0,,,,,,,,,,,,,,,,,
Measurement points:,420,,,,,,,,,,,,,,,,,
Number of Measurement points:,801,,,,,,,,,,,,,,,,,
Num Repeats:,90,90,,,,,,,,,,,,,,,,
PGA Gain:,64,64,,,,,,,,,,,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,,,,,,,,,,,
1081,0.04385035,1802248.479,1629162.175,1984503,1118820,,,,,,,,,,,,,
1082,0.0437163,1794659.225,1622802.592,1984721,1142941,,,,,,,,,,,,,
1083,0.04359073,1789895.411,1618963.023,1987600,1168808,,,,,,,,,,,,,
1084,0.04347885,1789329.311,1618867.946,1980914,1189019,,,,,,,,,,,,,
1085,0.04337707,1789975.061,1619831.758,1993806,1220266,,,,,,,,,,,,,
1086,0.04328014,1788473.937,1618834.607,2006736,1251237,,,,,,,,,,,,,
1087,0.04318666,1784011.699,1615143.204,2008377,1274981,,,,,,,,,,,,,
1088,0.04309842,1777548.285,1609618.603,2032553,1311653,,,,,,,,,,,,,
1089,0.04301694,1770308.931,1603363.975,2045511,1340489,,,,,,,,,,,,,
1090,0.04294219,1764262.024,1598162.356,2059512,1369118,,,,,,,,,,,,,
1091,0.04287405,1761417.676,1595836.162,2076712,1398670,,,,,,,,,,,,,
1092,0.04281107,1761391.737,1596044.096,2097406,1429476,,,,,,,,,,,,,
1093,0.04275008,1761462.542,1596332.421,2115109,1456892,,,,,,,,,,,,,
1094,0.04268885,1759422,1594707.988,2137386,1486829,,,,,,,,,,,,,
1095,0.04263141,1755866.441,1591695.776,2156647,1513589,,,,,,,,,,,,,
1096,0.04258374,1752177.349,1588525.961,2174861,1538589,,,,,,,,,,,,,
1097,0.0425483,1749014.238,1585787.692,2193402,1563214,,,,,,,,,,,,,
1098,0.04252282,1746111.008,1583248.284,2210816,1586597,,,,,,,,,,,,,
1099,0.04250486,1743192.128,1580667.018,2227246,1608774,,,,,,,,,,,,,
1100,0.042493,1740293.493,1578081.754,2228617,1620204,,,,,,,,,,,,,
1101,0.04248616,1737566.89,1575634.118,2253155,1648129,,,,,,,,,,,,,
1102,0.04248141,1735087.746,1573403.217,2271169,1671176,,,,,,,,,,,,,
1103,0.04247285,1732809.938,1571368.634,2269856,1680660,,,,,,,,,,,,,
1104,0.04245635,1730642.921,1569463.137,2293686,1708734,,,,,,,,,,,,,
1105,0.04244342,1728241.814,1567332.312,2305697,1728579,,,,,,,,,,,,,
1106,0.04245267,1725150.04,1564495.084,2316637,1747602,,,,,,,,,,,,,
1107,0.04248903,1721385.016,1560949.971,2327527,1767204,,,,,,,,,,,,,
1108,0.04253172,1717844.193,1557586.056,2325896,1777485,,,,,,,,,,,,,
1109,0.04255992,1715382.874,1555253.366,2343568,1802378,,,,,,,,,,,,,
1110,0.04257949,1713644.409,1553607.167,2358203,1825434,,,,,,,,,,,,,
1111,0.04261028,1711645.69,1551685.117,2356914,1836339,,,,,,,,,,,,,
1112,0.0426628,1708897.383,1549006.313,2378741,1864797,,,,,,,,,,,,,
1113,0.04272804,1705929.328,1546083.683,2384327,1880609,,,,,,,,,,,,,
1114,0.04279578,1703341.317,1543497.39,2388812,1895224,,,,,,,,,,,,,
1115,0.04286839,1701213.738,1541311.761,2393855,1910187,,,,,,,,,,,,,
1116,0.0429553,1699339.597,1539305.7,2400756,1926077,,,,,,,,,,,,,
1117,0.04306331,1697653.776,1537396.222,2400986,1935994,,,,,,,,,,,,,
1118,0.04319332,1696398.074,1535799.252,2406374,1949552,,,,,,,,,,,,,
1119,0.04334527,1695734.788,1534661.719,2406624,1958413,,,,,,,,,,,,,
1120,0.04351842,1694684.85,1533100.155,2405944,1965816,,,,,,,,,,,,,
1121,0.04371218,1691641.353,1529664.239,2406456,1973300,,,,,,,,,,,,,
1122,0.04392973,1686463.361,1524218.346,2406266,1979628,,,,,,,,,,,,,
1123,0.04418014,1682057.406,1519359.944,2405204,1984563,,,,,,,,,,,,,
1124,0.04447037,1681279.598,1517642.832,2389887,1976941,,,,,,,,,,,,,
1125,0.04479537,1683121.13,1518168.591,2399231,1988907,,,,,,,,,,,,,
1126,0.04514583,1684533.974,1518217.318,2400963,1994010,,,,,,,,,,,,,
1127,0.04551784,1683718.246,1516182.828,2383382,1982462,,,,,,,,,,,,,
1128,0.04591432,1681292.552,1512616.971,2391257,1991151,,,,,,,,,,,,,
1129,0.04633889,1678201.456,1508360.669,2386234,1989050,,,,,,,,,,,,,
1130,0.04679914,1675816.306,1504621.543,2379165,1984589,,,,,,,,,,,,,
1131,0.04730328,1675692.832,1502765.216,2372320,1979922,,,,,,,,,,,,,
1132,0.04785192,1678010.051,1502943.445,2352688,1964066,,,,,,,,,,,,,
1133,0.0484366,1680648.359,1503281.306,2352428,1963949,,,,,,,,,,,,,
1134,0.04905299,1681630.211,1502026.206,2348842,1960508,,,,,,,,,,,,,
1135,0.04971227,1681335.444,1499484.91,2331447,1945331,,,,,,,,,,,,,
1136,0.05042953,1681079.226,1496782.354,2336464,1948867,,,,,,,,,,,,,
1137,0.05120105,1681593.8,1494583.019,2326748,1939665,,,,,,,,,,,,,
1138,0.05199883,1682800.001,1492910.16,2316064,1929630,,,,,,,,,,,,,
1139,0.05279992,1684379.79,1491557.861,2306942,1920979,,,,,,,,,,,,,
1140,0.05361718,1685096.245,1489386.914,2300629,1914527,,,,,,,,,,,,,
1141,0.05447685,1683504.067,1485037.152,2287337,1902383,,,,,,,,,,,,,
1142,0.0553907,1680491.589,1479263.853,2279129,1894506,,,,,,,,,,,,,
1143,0.05634774,1679507.901,1475143.645,2266869,1883156,,,,,,,,,,,,,
1144,0.05733108,1682874.209,1474757.374,2254000,1871472,,,,,,,,,,,,,
1145,0.05833356,1688113.147,1475937.569,2242074,1860158,,,,,,,,,,,,,
1146,0.05935775,1691740.613,1475625.071,2229420,1848555,,,,,,,,,,,,,
1147,0.06040636,1692557.988,1472777.681,2215802,1836069,,,,,,,,,,,,,
1148,0.06147721,1691259.426,1468023.546,2190394,1813516,,,,,,,,,,,,,
1149,0.06257014,1689028.359,1462402.09,2185589,1807802,,,,,,,,,,,,,
1150,0.06369196,1688214.561,1457926.681,2173646,1796335,,,,,,,,,,,,,
1151,0.06484332,1691040.183,1456500.401,2145020,1770772,,,,,,,,,,,,,
1152,0.06600621,1696383.42,1457195.442,2138754,1763242,,,,,,,,,,,,,
1153,0.06715971,1701157.389,1457420.192,2121301,1746386,,,,,,,,,,,,,
1154,0.0683017,1703767.191,1455822.907,2103614,1729128,,,,,,,,,,,,,
1155,0.06945182,1705419.797,1453380.997,2088502,1713662,,,,,,,,,,,,,
1156,0.07062517,1707434.214,1451171.731,2066010,1691876,,,,,,,,,,,,,
1157,0.07181429,1709901.245,1449294.803,2063028,1685619,,,,,,,,,,,,,
