Batch Number,B2500406,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF100001,,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,,
NIR-Code,M20260202-00092,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2487,2548,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5024,5008,,,,,,
Lamp PD:,93,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1006,0.25923284,2368444.834,1303858.428,,,,,
1007,0.25905557,2367527.092,1303885.309,,,,,
1008,0.25887356,2366499.61,1303865.739,,,,,
1009,0.2586868,2365369.041,1303803.404,,,,,
1010,0.25849524,2364142.038,1303701.987,,,,,
1011,0.25829885,2362825.256,1303565.175,,,,,
1012,0.25809762,2361425.348,1303396.653,,,,,
1013,0.25789151,2359948.968,1303200.106,,,,,
1014,0.25768049,2358402.769,1302979.219,,,,,
1015,0.25746454,2356793.404,1302737.678,,,,,
1016,0.25724364,2355127.529,1302479.168,,,,,
1017,0.25701781,2353410.957,1302206.806,,,,,
1018,0.25678734,2351642.71,1301919.099,,,,,
1019,0.25655267,2349818.505,1301612.318,,,,,
1020,0.25631423,2347934.037,1301282.715,,,,,
1021,0.25607246,2345985.003,1300926.544,,,,,
1022,0.25582778,2343967.097,1300540.059,,,,,
1023,0.25558062,2341876.017,1300119.514,,,,,
1024,0.25533142,2339707.458,1299661.163,,,,,
1025,0.25508059,2337457.116,1299161.259,,,,,
1026,0.25482856,2335120.686,1298616.057,,,,,
1027,0.25457576,2332693.865,1298021.81,,,,,
