Batch Number,B2600087,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPES250101,,,,,,
Product name,CHICKEN FEED - BALADI STARTER,,,,,,
NIR-Code,D20260214-00105,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2238,2272,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5635,5589,,,,,
Lamp PD:,94,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1030,0.06446618,1969623.029,1697918.868,1463376,670584,,
1031,0.06428329,1968349.345,1697535.585,1473997,673831,,
1032,0.06409751,1965328.652,1695655.689,1500965,684036,,
1033,0.06389127,1962041.754,1693623.919,1520409,691104,,
1034,0.06366415,1959230.096,1692081.571,1538213,697206,,
1035,0.063439,1956614.286,1690698.69,1556994,703705,,
1036,0.06323825,1953870.008,1689107.998,1566179,705998,,
1037,0.0630608,1951012.048,1687326.597,1589574,714630,,
1038,0.06289067,1948270.891,1685616.094,1610740,722188,,
1039,0.06271474,1945819.395,1684177.2,1621706,725166,,
1040,0.06253318,1943566.758,1682930.882,1648726,735545,,
1041,0.0623497,1941350.594,1681722.276,1665718,741270,,
1042,0.0621671,1938967.291,1680364.042,1681898,746878,,
1043,0.06198667,1936140.451,1678611.495,1698810,752737,,
1044,0.06180931,1932622.617,1676245.955,1716507,759035,,
1045,0.06163475,1928704.958,1673520.553,1731368,764356,,
1046,0.06146192,1925090.43,1671049.126,1748652,770660,,
1047,0.06129011,1922310.089,1669295.918,1763195,775746,,
1048,0.06111924,1919988.474,1667935.982,1776684,780872,,
1049,0.06094919,1917471.902,1666402.146,1791141,786108,,
1050,0.06077999,1914432.671,1664409.214,1804527,791299,,
1051,0.06061229,1911159.028,1662204.808,1817436,796468,,
1052,0.06044695,1907990.868,1660081.251,1818308,796522,,
1053,0.06028445,1905017.007,1658114.065,1839933,805849,,
1054,0.06012498,1902132.847,1656211.765,1855480,812997,,
