Batch Number,B2600074,,,,,
1193,0.1128848,1840450.142,1419185.811,1713106,1422479,
1194,0.11334735,1844506.481,1420799.638,1707283,1426798,
1195,0.11377726,1849487.626,1423226.989,1701576,1431222,
1196,0.11417018,1855273.672,1426388.424,1689933,1430507,
1197,0.11452136,1861114.179,1429722.205,1692846,1441618,
1198,0.11482604,1865020.867,1431718.554,1691413,1448586,
1199,0.11508134,1865649.575,1431359.519,1680564,1447200,
1200,0.11528867,1866257.603,1431142.633,1685721,1458830,
1201,0.11544909,1871514.798,1434644.095,1684093,1464059,
1202,0.11556219,1881202.015,1441694.506,1682192,1468462,
1203,0.11562813,1890537.306,1448628.815,1682055,1473680,
1204,0.11564467,1896156.015,1452878.828,1676338,1473243,
1205,0.11560169,1898473.779,1454798.728,1681563,1481520,
1206,0.11549096,1898724.039,1455361.519,1685218,1487925,
1207,0.11532731,1899930.345,1456835.009,1682330,1487716,
1208,0.11513511,1905679.572,1461890.262,1693506,1499425,
1209,0.11491762,1915553.255,1470200.658,1697263,1503884,
1210,0.11465473,1925040.353,1478376.683,1700678,1507884,
1211,0.11433072,1931237.465,1484242.81,1705977,1513257,
1212,0.11394748,1935807.735,1489068.71,1712936,1519663,
1213,0.11351147,1940846.351,1494444.147,1717999,1524088,
1214,0.11303329,1946465.135,1500421.699,1726946,1531920,
1215,0.11252419,1951956.389,1506419.481,1733369,1537432,
1216,0.11198916,1957227.47,1512349.426,1739243,1542401,
1217,0.11142769,1962825.894,1518637.394,1746606,1548547,
1218,0.11083705,1969067.406,1525539.754,1754488,1554990,
1219,0.1102082,1975609.641,1532826.277,1762395,1561180,
1220,0.10953331,1982000.27,1540176.155,1763431,1561343,
1221,0.10882094,1987733.166,1547166.816,1779152,1574155,
1222,0.10808551,1992330.027,1553373.059,1791018,1583526,
1223,0.10733969,1996412.886,1559231.776,1791816,1582937,
1224,0.10659646,2001674.029,1566018.53,1809278,1596985,
1225,0.1058657,2008683.011,1574148.513,1819210,1604042,
1226,0.10514464,2015324.351,1581977.548,1828413,1610559,
1227,0.10442599,2019612.571,1587969.186,1838216,1617373,
1228,0.10370368,2022540.807,1592918.704,1840930,1618009,
1229,0.10297541,2026099.164,1598399.329,1855884,1629095,
1230,0.10225059,2030698.828,1604703.981,1867899,1637896,
1231,0.10154606,2035398.881,1611029.42,1869818,1637758,
1232,0.10086834,2039741.962,1616988.352,1887928,1651758,
1233,0.1002061,2044302.222,1623076.527,1895912,1657136,
1234,0.09955146,2049257.892,1629465.455,1902630,1661450,
1235,0.09891736,2052313.412,1634279.454,1910622,1666393,
1236,0.09831846,2050822.391,1635345.781,1918952,1671870,
1237,0.09775037,2047261.635,1634643.224,1925711,1675920,
1238,0.09720145,2047642.928,1637015.438,1935617,1682771,
1239,0.09667201,2053746.739,1643898.053,1942835,1686965,
1240,0.09617119,2060642.291,1651320.68,1949303,1690468,
1241,0.09569966,2064116.573,1655901.725,1956742,1694900,
1242,0.09524122,2064687.926,1658109.454,1964238,1699088,
1243,0.09477962,2064065.992,1659372.772,1970527,1702256,
1244,0.09431867,2065013.525,1661897.466,1966986,1696756,
1245,0.09387455,2070745.653,1668215.721,1980646,1706155,
1246,0.0934617,2080929.046,1678013.986,1988491,1710676,
1247,0.09308806,2091070.748,1687643.329,1982118,1702943,
1248,0.09275129,2098227.032,1694732.606,1995726,1712569,
1249,0.09243148,2104081.569,1700713.229,1999655,1713605,
1250,0.09211145,2110784.235,1707388.655,2001993,1713460,
1251,0.09179807,2118801.571,1715110.917,2004444,1713997,
1252,0.09150606,2127870.5,1723610.502,1997246,1706087,
1253,0.09123728,2136222.979,1731447.392,2004334,1710344,
1254,0.09098234,2140879.706,1736240.67,2007682,1711470,
1255,0.09073513,2142173.935,1738279.452,1998432,1702308,
1256,0.09049895,2146333.589,1742602.268,2007215,1708475,
1257,0.09027882,2157819.374,1752815.743,2003380,1704221,
1258,0.09007304,2171744.547,1764963.376,1997246,1698060,
1259,0.08987627,2181493.245,1773689.546,1991532,1692439,
1260,0.08968688,2185940.544,1778080.7,1985263,1687010,
1261,0.08950639,2187032.107,1779708.06,1977205,1680094,
1262,0.08933328,2187912.5,1781134.292,1972192,1676145,
1263,0.08916282,2193056.868,1786023.093,1964622,1670276,
1264,0.08899715,2204186.563,1795772.027,1956756,1664608,
1265,0.08885197,2216199.861,1806163.064,1949824,1659751,
1266,0.08873753,2224113.195,1813089.975,1942716,1655214,
1267,0.08863306,2229045.696,1817548.09,1934485,1649855,
1268,0.08851047,2234004.025,1822105.321,1914722,1634757,
1269,0.08837022,2239737.964,1827372.119,1912729,1634720,
1270,0.08823225,2245398.114,1832572.242,1903231,1628283,
1271,0.08810671,2250626.842,1837370.704,1876387,1606928,
1272,0.08798948,2255824.369,1842111.024,1867429,1600678,
1273,0.08787727,2261338.958,1847091.437,1845980,1583452,
1274,0.08777213,2267184.813,1852314.801,1820139,1562067,
1275,0.08767547,2273221.449,1857660.194,1792188,1538683,
1276,0.08757799,2278692.961,1862549.467,1753170,1505247,
1277,0.08746701,2282688.396,1866292.114,1726477,1482241,
1278,0.08734722,2285944.219,1869469.598,1695510,1454997,
1279,0.08723783,2290546.33,1873705.165,1652085,1417256,
1280,0.08714171,2296889.861,1879310.138,1623789,1392214,
1281,0.08703376,2302512.836,1884379.176,1583224,1356240,
1282,0.08689693,2305655.417,1887545.699,1539264,1317227,
1283,0.08675125,2307867.609,1889990.597,1493039,1276562,
1284,0.08662155,2311134.41,1893231.193,1444165,1233409,
1285,0.08650715,2315421.679,1897242.939,1389834,1185769,
1286,0.08639617,2319833.533,1901343.791,1333775,1136943,
1287,0.08628623,2324405.473,1905573.311,1273033,1083969,
1288,0.08618349,2329986.371,1910600.532,1209697,1029235,
1289,0.08608937,2335767.926,1915756.542,1144724,973236,
1290,0.08599623,2338027.754,1918021.35,1078440,916360,
1291,0.08589897,2334983.766,1915953.209,1011008,857897,
1292,0.08580672,2332683.557,1914472.373,935437,793540,
1293,0.08573129,2337628.557,1918864.092,866098,734391,
1294,0.08567341,2346861.783,1926700.021,788393,668191,
1295,0.0856281,2353401.229,1932270.277,699230,592263,
1296,0.08559185,2355024.92,1933764.839,614392,520108,
1297,0.08556298,2353710.159,1932813.747,522857,442477,
1298,0.08554558,2352300.162,1931733.272,431041,364611,
1299,0.08555304,2354842.094,1933787.492,343824,290502,
1300,0.08559365,2363385.861,1940622.144,262398,221552,
1301,0.08565654,2373033.612,1948261.965,194389,163876,
1302,0.08572939,2378384.739,1952327.721,137662,115953,
1303,0.08581287,2380339.548,1953556.805,93522,78553,
1304,0.08591258,2382293.193,1954711.319,63404,53108,
1305,0.08603399,2385541.641,1956829.6,43352,36140,
1306,0.08618253,2389682.366,1959555.855,31246,25790,
1307,0.0863577,2393154.829,1961611.95,24351,20052,
1308,0.08655079,2392758.189,1960415.006,20443,16724,
1309,0.08675914,2387810.975,1955423.393,18300,14925,
1310,0.0869955,2385139.299,1952172.746,16945,13776,
1311,0.08726986,2390950.727,1955693.371,15903,13013,
1312,0.08757535,2400438.951,1962073.707,15221,12233,
1313,0.08790329,2405426.389,1964666.225,14583,11873,
1314,0.08825262,2404024.544,1961942.497,14247,11343,
1315,0.08862515,2398598.974,1955836.267,13711,11093,
1316,0.08902534,2392972.905,1949451.537,13268,10733,
1317,0.0894596,2392638.891,1947231.364,12996,10461,
1318,0.0899256,2399479.846,1950704.59,12604,10184,
1319,0.09041002,2406997.848,1954635.046,12394,9901,
1320,0.09090953,2409323.449,1954274.541,,,
1321,0.0914498,2408373.894,1951075.643,,,
1322,0.09205674,2407838.761,1947917.973,,,
1323,0.09271377,2408236.202,1945294.295,,,
1324,0.09338515,2408470.46,1942478.309,,,
1325,0.09406618,2408254.635,1939260.815,,,
1326,0.09478064,2408075.043,1935928.796,,,
1327,0.09553971,2408245.184,1932684.62,,,
1328,0.09633198,2408735.654,1929554.98,,,
1329,0.0971486,2409241.603,1926334.744,,,
1330,0.09799622,2408698.668,1922145.457,,,
1331,0.09888398,2406288.844,1916301.246,,,
1332,0.09980811,2403579.194,1910074.596,,,
1333,0.10075808,2402790.447,1905275.668,,,
1334,0.10173718,2403180.513,1901293.735,,,
1335,0.10276195,2402060.255,1895928.479,,,
1336,0.10382971,2398829.214,1888728.868,,,
1337,0.10490882,2395418.67,1881363.052,,,
1338,0.10598231,2393025.946,1874843.844,,,
1339,0.10707505,2390981.496,1868534.689,,,
1340,0.10820973,2388706.77,1861886.124,,,
1341,0.10937235,2386909.262,1855511.127,,,
1342,0.11054073,2386154.519,1849940.825,,,
1343,0.11171453,2383596.845,1842970.016,,,
1344,0.11290988,2375285.4,1831495.775,,,
1345,0.11413896,2364148.635,1817756.963,,,
1346,0.11539543,2358437.091,1808126.721,,,
1347,0.11665836,2359784.908,1803906.648,,,
1348,0.11791301,2360570.77,1799301.815,,,
1349,0.11916087,2355493.902,1790280.617,,,
1350,0.12040851,2346432.536,1778277.62,,,
1351,0.12165869,2336472.83,1765639.544,,,
1352,0.12291451,2329370.251,1755189.496,,,
1353,0.12417285,2328296.581,1749304.633,,,
1354,0.1254274,2330089.248,1745601.719,,,
1355,0.12668178,2328755.201,1739570.591,,,
1356,0.12794323,2323324.444,1730480.174,,,
1357,0.12921087,2317066.685,1720789.18,,,
1358,0.13047959,2311974.82,1711999.016,,,
1359,0.1317458,2308019.895,1704094.801,,,
1360,0.13299996,2304124.304,1696312.826,,,
1361,0.13421982,2297005.655,1686328.765,,,
1362,0.13539794,2284869.743,1672875.07,,,
1363,0.13657325,2273985.302,1660406.408,,,
1364,0.13777847,2271511.886,1654003.951,,,
1365,0.13899655,2273703.297,1650962.615,,,
1366,0.14020427,2271869.133,1645049.769,,,
1367,0.14139922,2263430.876,1634436.362,,,
1368,0.14258416,2250893.89,1620954.632,,,
1369,0.14377243,2238099.616,1607337.142,,,
1370,0.14499072,2230494.317,1597387.922,,,
1371,0.14624107,2229940.498,1592400.148,,,
1372,0.1474919,2229771.31,1587699.936,,,
1373,0.14873202,2224118.423,1579159.087,,,
1374,0.14999635,2215165.643,1568230.367,,,
1375,0.15131731,2206653.814,1557459.975,,,
1376,0.1526804,2198908.697,1547129.967,,,
1377,0.1540567,2190824.399,1536564.743,,,
1378,0.15546264,2182234.809,1525593.546,,,
1379,0.15694592,2173657.817,1514416.245,,,
